sel__k,MAE
1,1.9887846792770394
2,1.9737370234266154
3,1.9037478552037947
4,1.8898109910846599
5,1.8861205972429826
6,1.876373861653709
7,1.8727733216188622
8,1.8672497891428963
9,1.850058370709109
10,1.8321341165117038
11,1.8240643067786118
12,1.8166394225292373
13,1.8098084818704343
14,1.808759913668712
15,1.7976007733084731
16,2.0203429594970026
17,1.9975859866909544
18,1.9800284636130707
19,1.9917083765071486
20,1.9913137950034
21,1.7838842141578537
22,1.825877175507357
23,1.7861060624095322
24,1.7613404416189842
25,1.7502042656630776
26,1.7506093553603927
27,1.7247821465887947
28,1.7238400275738404
29,1.7607743152841404
30,1.7103464196264435
31,1.8526084419571667
32,1.8429523194848256
33,1.8768168231787998
34,1.835912489658407
35,1.8467229181833786
36,1.830906290629485
37,1.7831715847074554
38,1.779435379900496
39,1.7889970022896289
40,1.7778255235823204
41,1.7218710916982487
42,1.7114691945744591
43,1.6814493019135859
44,1.6745329825332609
45,1.6769610119455858
46,1.672288809261373
47,1.6068573342088888
48,1.6111457061552983
49,1.6065624339924445
50,1.6029676570800873
51,1.600411213769486
52,1.592980547448235
53,1.5893062241244507
54,1.5840278325589452
55,1.5695265912815546
56,1.5727115943468974
57,1.5680341694131747
58,1.5661211771583905
59,1.5704827204610823
60,1.5438212512699154
61,1.5552816337696802
62,1.542059885580869
63,1.530119264694097
64,1.535354906991562
65,1.5304257465078186
66,1.5285209326072642
67,1.528069554162964
68,1.5282567359377912
69,1.5304942453087624
70,1.5226154449456573
71,1.5206315280643175
72,1.5186037508275767
73,1.517499661076362
74,1.5157450812849842
75,1.5163632213070786
76,1.5172684533480363
77,1.5163613819646011
78,1.5158786989859128
79,1.5145004284040582
80,1.5145089263215163
81,1.5158021737217846
82,1.5159973883340851
83,1.5071188455854487
84,1.502561250617731
85,1.5074873440897525
86,1.5057497388126064
87,1.5002057365565764
88,1.5034207663946475
89,1.5004412204506068
90,1.5014700334511824
91,1.502281087325014
92,1.5012483242352916
93,1.5029284038531625
94,1.504005073080276
95,1.5059461211836789
96,1.5044828547286038
97,1.5026872705425476
98,1.5059476916958954
99,1.5067201849872525
100,1.5032973850012143
101,1.5065144996375526
102,1.5053078389038912
103,1.5072770905206336
104,1.4998675877458323
105,1.5012816394876942
106,1.5003310577982525
107,1.5003575612608888
108,2.272560802961418
109,2.2005355764026633
110,3.628724709540405
111,3.5582046983568714
112,3.6289999303991043
113,3.6305655678672535
114,3.5565354383115775
115,3.5583034301660508
116,3.5583034225502064
117,3.5583034225556722
118,3.5583034124426356
119,3.5583034046748616
120,3.5583033756389653
121,3.5583034128565076
122,3.5583034126411213
123,4.828106870629873
124,3.5573402725149394
125,3.5573402531798037
126,4.8281068570187005
127,4.828106923334139
128,4.827143735203825
129,4.8281069021320615
130,4.827143728704104
131,4.827143733765204
132,4.826298538445642
133,4.827143709386699
134,4.82714373386914
135,4.827143738024367
136,4.826676818262536
137,4.825918164186749
138,4.826385496775729
139,4.826385459694834
140,4.826385459694834
141,4.826385496775729
142,4.826912714747713
143,4.825793193248301
144,4.826067526577697
145,4.8260675308099374
146,4.825397501673601
147,4.825891291967768
148,4.826985072132596
149,4.826098107490434
150,4.825823777789119
151,4.826098107490434
152,4.826098107711587
153,4.825381397693336
154,4.826098107490433
155,4.825381397647994
156,4.826098107490434
157,4.825381397647994
158,4.827426827516746
159,4.826098107490434
160,4.826710117453152
161,4.826710117453151
162,4.827426827295593
163,4.827426827295593
164,4.827426827295593
165,4.827426827340935
166,4.827426827295592
167,4.827426827295593
168,4.827426827562089
169,4.827426827295593
170,4.827426827295593
171,4.827426827295593
172,4.826710117453151
173,4.826710117453152
174,4.826710117453151
175,4.826710117453152
176,4.827426827295593
177,4.826710117453152
178,4.826710117453151
179,4.827426827340935
180,4.827426827516745
181,4.826710117453152
182,4.826710117453152
183,4.826710117453152
184,4.827426827295593
185,4.827426827295593
186,4.826710117453152
187,4.827426827295593
188,4.826710117453152
189,4.826710117453152
190,4.826710117453152
191,4.826710117453152
192,4.827426827295593
193,4.826710117453152
194,4.826710117674306
195,4.826710117453152
196,4.827426827295592
197,4.827426827295593
198,4.827426827295593
199,4.826710117453152
200,4.827426827295592
201,4.827426827295593
202,4.826710117674305
203,4.826710117453152
204,4.827426827295593
205,4.827426827295593
206,4.826710117459652
207,4.8274268273020935
208,4.827426827719054
209,4.826710117113063
210,4.826118644086918
